Year,Fantasy_Points,PassingYards,PassingTDs,Ints,RushAttempts,RushYards,Fumbles,RushTDs,PassingSkill,RunningSkill
2019-01-01,0,126,0,2,6,-5,1,0,Backup,RegularQB
2021-01-01,14,189,1,0,2,14,0,0,Backup,RegularQB
2022-01-01,17,534,1,3,14,21,2,0,Backup,RegularQB
2020-01-01,13,137,1,0,3,22,0,0,Backup,RegularQB
2021-01-01,249,3419,20,15,60,313,2,1,Not Very Good,RegularQB
2022-01-01,138,1859,12,6,28,96,5,1,Backup,RegularQB
2023-01-01,73,890,5,4,15,124,0,1,Backup,RegularQB
2019-01-01,91,55,0,0,27,156,0,1,Backup,RegularQB
2020-01-01,156,928,4,2,87,457,5,8,Backup,Dual Threat
2023-01-01,132,83,1,0,81,401,1,4,Backup,Dual Threat
2019-01-01,103,1384,9,2,28,31,0,0,Backup,RegularQB
2020-01-01,262,3733,15,11,53,279,3,5,Game Manager,RedZone Threat
2021-01-01,230,3052,18,7,30,106,1,2,Game Manager,RegularQB
2022-01-01,44,683,4,4,3,27,0,0,Backup,RegularQB
2023-01-01,0,0,0,0,2,-2,0,0,Backup,RegularQB
2019-01-01,0,15,0,0,5,-7,0,0,Backup,RegularQB
2020-01-01,0,0,0,0,13,-9,0,0,Backup,RegularQB
2021-01-01,29,526,3,6,2,13,0,0,Backup,RegularQB
2022-01-01,-3,33,0,2,2,-2,0,0,Backup,RegularQB
2023-01-01,11,360,1,4,4,5,0,0,Backup,RegularQB
2019-01-01,304,4057,24,8,26,34,1,3,Solid,RegularQB
2020-01-01,408,4633,40,12,30,6,1,3,MVP Passer,RegularQB
2021-01-01,454,5316,43,12,28,81,3,2,MVP Passer,RegularQB
2022-01-01,319,4694,25,9,29,-1,4,1,Really Good,RegularQB
2023-01-01,104,1101,8,3,36,195,1,1,Backup,RegularQB
2019-01-01,0,0,0,0,1,1,0,0,Backup,RegularQB
2020-01-01,10,90,1,0,5,17,0,0,Backup,RegularQB
2022-01-01,6,412,0,5,15,61,2,0,Backup,RegularQB
2021-01-01,212,3641,12,17,73,334,5,2,Not Very Good,RegularQB
2022-01-01,341,4113,25,8,62,291,9,5,Really Good,RedZone Threat
2023-01-01,299,4016,21,14,70,339,7,4,Solid,RegularQB
2019-01-01,0,3,0,0,0,0,0,0,Backup,RegularQB
2021-01-01,108,1154,11,3,9,20,1,1,Backup,RegularQB
2022-01-01,11,184,1,1,4,8,0,0,Backup,RegularQB
2023-01-01,29,724,2,4,11,40,3,0,Backup,RegularQB
2021-01-01,71,603,5,2,38,168,0,1,Backup,RegularQB
2022-01-01,11,194,0,1,16,67,0,0,Backup,RegularQB
2020-01-01,149,1814,11,5,36,109,1,3,Backup,RegularQB
2021-01-01,204,2653,16,10,42,128,1,3,Did not play many games,RegularQB
2022-01-01,272,3548,25,8,24,70,1,0,Game Manager,RegularQB
2023-01-01,318,4624,29,14,35,74,5,0,High Volume,RegularQB
2020-01-01,0,18,0,0,0,0,0,0,Backup,RegularQB
2020-01-01,1,15,0,0,10,23,0,0,Backup,RegularQB
2021-01-01,86,1081,3,4,47,294,3,2,Backup,RegularQB
2022-01-01,50,658,2,3,43,137,0,1,Backup,RegularQB
2023-01-01,28,203,3,0,15,55,0,0,Backup,RegularQB
2019-01-01,8,33,1,0,10,7,0,0,Backup,RegularQB
2020-01-01,8,208,0,0,6,7,0,0,Backup,RegularQB
2021-01-01,87,966,5,5,19,151,0,3,Backup,RegularQB
2022-01-01,13,58,1,1,5,70,1,0,Backup,RegularQB
